---config@码表分类=主码-1
---config@码表别名= 符号编码
$ddcmd(jiekeyboard(<37.3><111>),Q饥饿)	oqje
$ddcmd(jkkeyboard(<37.2><111>),Q惊恐)	oqjk
$ddcmd(jykeyboard(<37.2><111>),Q惊讶)	oqjy
$ddcmd(kakeyboard(<37.2><111>),Q可爱)	oqka
$ddcmd(kbkeyboard(<37.2><111>),Q抠鼻)	oqkb
$ddcmd(kfkeyboard(<37.2><111>),Q咖啡)	oqkf
$ddcmd(kelkeyboard(<37.3><111>),Q可怜)	oqkl
$ddcmd(klkeyboard(<37.2><111>),Q骷髅)	oqkl
$ddcmd(kukkeyboard(<37.3><111>),Q酷)	oqku
$ddcmd(kunkeyboard(<37.3><111>),Q困)	oqky
$ddcmd(lhkeyboard(<37.2><111>),Q流汗)	oqlh
$ddcmd(lenghkeyboard(<37.5><111>),Q冷汗)	oqlh
$ddcmd(llkeyboard(<37.2><111>),Q流泪)	oqll
$ddcmd(lwkeyboard(<37.2><111>),Q礼物)	oqlw
$ddcmd(mgkeyboard(<37.2><111>),Q玫瑰)	oqmg
$ddcmd(ngkeyboard(<37.2><111>),Q难过)	oqng
$ddcmd(nokeyboard(<37.2><111>),Q NO)	oqno
$ddcmd(ohkeyboard(<37.2><111>),Q怄火)	oqoh
$ddcmd(okkeyboard(<37.2><111>),Q OK)	oqok
$ddcmd(tuukeyboard(<37.3><111>),Q呕吐)	oqot
$ddcmd(pzkeyboard(<37.2><111>),Q撇嘴)	oqpz
$ddcmd(qiangkeyboard(<37.5><111>),Q强)	oqql
$ddcmd(qtkeyboard(<37.2><111>),Q拳头)	oqqt
$ddcmd(ruokeyboard(<37.3><111>),Q弱)	oqro
$ddcmd(sekeyboard(<37.2><111>),Q色)	oqse
$ddcmd(tiaokeyboard(<37.4><111>),Q跳)	oqtn
$ddcmd(tpkeyboard(<37.2><111>),Q调皮)	oqtp
$ddcmd(txkeyboard(<37.2><111>),Q偷笑)	oqtx
$ddcmd(tykeyboard(<37.2><111>),Q太阳)	oqty
$ddcmd(shdkeyboard(<37.3><111>),Q闪电)	oqud
$ddcmd(shuaikeyboard(<37.5><111>),Q衰)	oquk
$ddcmd(shlkeyboard(<37.3><111>),Q胜利)	oqul
$ddcmd(shuikeyboard(<37.4><111>),Q睡)	oquv
$ddcmd(zhdkeyboard(<37.3><111>),Q炸弹)	oqvd
$ddcmd(zkkeyboard(<37.2><111>),Q抓狂)	oqvk
$ddcmd(ztkeyboard(<37.2><111>),Q猪头)	oqvt
$ddcmd(wskeyboard(<37.2><111>),Q握手)	oqwu
$ddcmd(wxkeyboard(<37.2><111>),Q微笑)	oqwx
$ddcmd(xskeyboard(<37.2><111>),Q心碎)	oqxs
$ddcmd(xigkeyboard(<37.3><111>),Q西瓜)	oqxg
$ddcmd(xu...keyboard(<37.5><111>),Q嘘...)	oqxu
