---config@码表分类=主码-4
---config@码表别名= 增补字
行家一出手，就知有没有	hjyy
阖家幸福	hjxf
好几十年	hjen
汉唐	hjth
好几年	hjnm
好几回	hjhv
阖家欢乐	hjhl
撼动	hjds
好几次	hjci
好久不见	hjbj
阖家安康	hjak
横冲直闯	hivi
候车室	hiui
汗出如浆	hirj
好吃好喝	hihh
好处费	hifw
混吃等死	hids
好好学习，天天向上	hhxu
黄河之水天上来	hhvl
挥挥手	hhuz
好好说	hhuo
好好说话	hhuh
挥毫洒墨	hhsm
和和气气	hhqq
花花绿绿	hhll
花花轿子人抬人	hhjr
好合好散	hghs
恍恍惚惚	hhhh
哈哈哈	hhha
黄花菜都凉了	hhcl
好汉不提当年勇	hhby
好话不说二遍	hhbb
还好吧	hhba
好钢用在刀刃上	hgyu
花果山	hguj
和光同尘	hgti
红光满面	hgmm
哼哈	hgha
花骨朵	hgdo
厚古薄今	hgbj
花繁叶茂	hfxm
毫发无伤	hfmu
毫发无损	hfms
狠话	hfhx
菏泽	heze
喝点	hedm
花儿朵朵	hedd
厚德载物	hdzw
化敌为友	hdwy
荒诞无稽	hdmj
河东狮吼	hduh
寒冬腊月	hdly
皇帝轮流坐，明年到我家	hdlj
活到老	hdlc
海角	hdjn
海景	hdjk
何德何能	hdhn
好多次	hdci
好脏	hczh
好乱	hclr
好假	hcjx
浩劫	hcjp
好点	hcdm
互不影响	hbyx
花边新闻	hbxw
红白喜事	hbxu
毫不逊色	hbxs
话不说不明	hbum
还不少	hbuc
毫不留情	hblq
祸不及家人	hbjr
恨不得有条地缝钻进去	hbdq
后半辈子	hbbz
后半部分	hbbf
巷子	hhzi
行吗	hhma
行高于人，众必非之	hgyv
行不更名，坐不改姓	hbgx
行不更名	hbgm
行不得也哥哥	hbdg
臭嘴	izzv
创造性	izxk
成则为王，败则为寇	izwk
赤子之心	izvx
筹拍	izpd
瞅瞅	iziz
穿凿附会	izfh
初一一回十五一回	iyyh
成也萧何，败也萧何	iyxh
穿一条裤子	iytz
尺有所短	iysd
穿云破雾	iypw
产业革命	iygm
吃哑巴亏	iybk
程序员	ixyr
创新能力	ixnl
吃相难看	ixnk
重新开始	ixku
长效机制	ixjv
吃现成饭	ixif
丑媳妇总得见公婆	ixfp
成为一个	iwyg
颤巍巍	iwww
出问题	iwti
常委会	iwhv
朝中有人好做官	ivyg
重装系统	ivjt
吃着碗里，望着锅里	ivwl
吃着碗里的，望着锅里的	ivwd
称之为	ivww
晨钟暮鼓	ivmg
初夏	iuxx
初心	iuxb
出师未捷	iuwj
初始状态	iuvt
初秋	iuqq
抽水马桶	iumt
赤身裸体	iult
初略	iult
诚实可靠	iukk
除开	iukd
初春	iuiy
成双成对	iuid
出格	iuge
抽身而去	iueq
触动	iuds
成事不足，败事有余	iuby
处事不惊	iubj
秤砣虽小压千斤	itsj
出头露面	itlm
冲茶	isia
虫害	ishd
撑死胆大的	isdd
出人意外	iryw
出人意表	iryb
仇人相见，分外眼红	irxh
成仁取义	irqy
吃人家饭，受人家管	irjg
吃人家的嘴短	irjd
串场	irih
吃人不吐骨头	irbt
船舶	irbo
重起炉灶	iqlz
春秋鼎盛	iqdi
常年在外	inzw
处女作	inzo
传男不传女	inbn
吹牛不打草稿	inbg
出谋献策	imxc
城门失火，殃及池鱼	imuy
臣门如市	imru
愁眉泪眼	imly
程门立雪	imlx
崇明岛	imdc
出毛病了	imbl
豺狼虎豹	ilhb
查漏补缺	ilbq
吃亏在眼前	ikzq
春节快乐	ijkl
蟾蜍	ijiu
除旧布新	ijbx
尺子	iizi
吃些	iiso
吃香	iixl
彻彻底底	iidd
窗户纸一点就破	ihvp
丑话说在前头	ihut
春花秋月	ihqy
春华秋实	ihqu
长串	ihir
长话短说	ihdu
常德	ihde
唱本	ihbf
橙子	igzi
承销	igxn
撑伞	igsj
车轱辘话	iglh
撑杆	iggj
城防	igfh
承德	igde
乘风扬帆	ifyf
长方形	ifxk
趁手	ifuz
超凡脱俗	ifts
乘风破浪	ifpl
春风满面	ifmm
晨会	ifhv
尘垢	ifgz
春风拂面	iffm
车龄	ielk
撤防	iefh
撤单	iedj
吃得消	idxn
吹得天花乱坠	idtv
船到桥头自然直	idqv
吃得开	idkd
闯荡江湖	idjh
臭豆腐	idfu
超卓	icvo
超市	icui
春蚕到死丝方尽	icdj
吃不下饭	ibxf
沉不住气	ibvq
长白山	ibuj
唱白脸	iblm
常备不懈	ibbx
茶社	iaue
叉车	iaie
抢先一步	ixyb
抢戏	igxi
抢购一空	igyk
盛名之下无虚士	imvu
种族歧视	izqu
重心不稳	ixbw
重赏之下，必有勇夫	iuvf
长他人志气	itrq
长他人志气，灭自己威风	itrf
重伤	isuh
种类繁多	ilfd
重口味	ikww
长出	ihiu
长草	ihcc
君子一言，驷马难追	jzyd
君子远庖厨	jzyi
教子有方	jzyf
教子无方	jzmf
君子之交淡如水	jzvu
君子慎独	jzud
君子动口不动手	jzdu
尖嘴薄舌	jzbu
建言献策	jyxc
局域网	jywh
经一事，长一智	jyuv
节约时间	jyuj
技压群雄	jyqx
将欲取之，必先予之	jyqv
疾言厉色	jyls
寄予厚望	jyhw
家宴	jxyj
假惺惺	jxxk
江西省	jxug
甲醛	jxqr
近乡情怯	jxqq
佳酿	jxnl
锦绣年华	jxnh
假寐	jxmw
尽心尽力	jxjl
加急	jxji
家传	jxir
居心何在	jxhz
匠心独运	jxdy
匠心独具	jxdj
甲等	jxdg
加餐	jxcj
家财	jxcd
酒香不怕巷子深	jxbu
基围虾	jwxx
就为了	jwle
绝无二心	jmex
经纬度	jwdo
教职员工	jvyg
集装箱	jvxl
急转弯	jvwj
近朱者赤，近墨者黑	jvvh
价值千金	jvqj
君主立宪	jvlx
绝知此事要躬行	jvch
剧作	juzo
监守自盗	juzd
假手于人	juyr
九十月份	jeyf
计上心来	juxl
九省通衢	jutq
尽释前嫌	juqx
见识浅薄	juqb
精神可嘉	jukj
居后	juhz
拒付	jufu
精神抖擞	juds
井水不犯河水	jubu
精神百倍	jubb
矍铄	jtuo
交通枢纽	jtun
狡兔死走狗烹	jtsp
交通局	jtju
交通工具	jtgj
紧随其后	jsjh
急死了	jsle
己所不欲，勿施于人	jsbr
救人一命	jrym
近日无仇	jrmi
既然这样	jrvy
惊人之举	jrvj
尽人事听天命	jrum
见人说人话	jruh
节日快乐	jrkl
尽人皆知	jrjv
涓涓	jrjr
见人矮三分	jraf
久闻	jqwf
敬请期待	jqjd
捡起来	jqld
舅舅	jqjq
尽情发挥	jqfh
金盆洗手	jpxu
就怕万一	jpmy
旧瓶装新酒	jpvj
吉普赛	jpsd
接盘	jppj
解禁	jpjb
解惑	jpho
就怕货比货	jphh
解绑	jpbh
骄纵	jnzs
今年以来	jnyl
叫嚣	jnxn
交投	jntz
